"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","Significance"
"SGIP1",1391.98264216358,-0.271122989185199,0.167036830559807,-1.62313298376506,0.104560980031342,0.422225095875258,"SGIP1","84251","Not Significant"
"NECAP2",376.213643911451,0.0826856486779189,0.149930338171061,0.551493778287752,0.581295230552879,0.830270279934942,"NECAP2","55707","Not Significant"
"AZIN2",342.079201507027,-0.216524534705012,0.175833186291846,-1.23142018450162,0.218165751578218,0.565590761755226,"AZIN2","113451","Not Significant"
"AGBL4",175.673014849592,-0.397269044461284,0.238799325678842,-1.66361041151166,0.0961903099074853,0.40722773890919,"AGBL4","84871","Not Significant"
"CLIC4",1352.09512819131,-0.426588346619723,0.30478960462455,-1.39961580102185,0.161628399690395,0.501715430210262,"CLIC4","25932","Not Significant"
"SLC45A1",255.133251411181,-0.372610066966184,0.194027048209616,-1.92040269851262,0.0548070529616334,0.327171682873925,"SLC45A1","50651","Not Significant"
"TGFBR3",518.272419564635,0.100084808474143,0.180592513356244,0.55420242298036,0.579440320287802,0.829711156230955,"TGFBR3","7049","Not Significant"
"DBT",599.35647025399,-0.00507074310539645,0.118032832459345,-0.0429604458330948,0.965733064377497,0.991326077564891,"DBT","1629","Not Significant"
"PRUNE1",267.176482919136,0.119303657231547,0.107129871730849,1.11363577034128,0.265435474284886,0.606639017636152,"PRUNE1","58497","Not Significant"
"C1orf21",2166.80760079245,0.136939259011502,0.122277798903818,1.11990287884734,0.262755151378693,0.604478499751641,"C1orf21","81563","Not Significant"
"RFWD2",525.277351680166,0.0157776314260368,0.0808396767012513,0.19517187685379,0.845258394693286,0.949277260866847,"RFWD2",NA,"Not Significant"
"LIN9",42.1471179385606,0.171903761471038,0.158427800893217,1.08506057965738,0.277894825220388,0.619941588472589,"LIN9","286826","Not Significant"
"PRKCZ",1321.4626827541,-0.0034159384209307,0.14705210410375,-0.0232294426642182,0.9814672530905,0.994568423295535,"PRKCZ","5590","Not Significant"
"PRDM16",676.273360825278,0.246360714733617,0.222313807611819,1.10816650292719,0.267789914387763,0.608503911547473,"PRDM16","63976","Not Significant"
"ICMT",623.539432112183,0.186404279597242,0.102300046797194,1.82213288686741,0.0684348247778304,0.357138466825542,"ICMT","23463","Not Significant"
"CAMTA1",2244.4596402021,-0.194263611162083,0.18092818787032,-1.07370561463491,0.282954644130344,0.624436632209202,"CAMTA1","23261","Not Significant"
"C1orf159",207.705847852192,-0.123852609023785,0.170875156840772,-0.724813432880687,0.468566493792776,0.765468858433007,"C1orf159","54991","Not Significant"
"PINK1-AS",68.3105878230674,0.183630112798452,0.167190178618836,1.09833074116809,0.272060093036181,0.613629957168925,"PINK1-AS","100861548","Not Significant"
"EPHB2",331.475231178727,0.012697987065097,0.170197661500445,0.0746072945606472,0.940527170081889,0.982272106231033,"EPHB2","2048","Not Significant"
"PINK1",1432.2025576702,-0.0539429390817653,0.11526095326633,-0.468007053152866,0.639779545856583,0.859600861787359,"PINK1","65018","Not Significant"
"USP48",1023.95702201994,-0.0321369312870943,0.100542128704326,-0.319636471807778,0.749243923140626,0.90944761143578,"USP48","84196","Not Significant"
"STMN1",3427.67808545192,-0.480594877647912,0.222573668706845,-2.15926205664925,0.0308298420500611,0.258152154795501,"STMN1","3925","Not Significant"
"NUDC",1229.75570583738,-0.137084348843606,0.152193096799355,-0.900726456892666,0.367733778153671,0.696210977462437,"NUDC","10726","Not Significant"
"EPB41",542.385132108421,0.540216062686712,0.223657084673275,2.41537648349426,0.0157189528165407,0.201185305158974,"EPB41","2035","Not Significant"
"PUM1",2069.35587282604,0.0386602612701949,0.0858811473650365,0.45016004625404,0.65259504275226,0.866574694561778,"PUM1","9698","Not Significant"
"KHDRBS1",1064.44313709671,-0.331778206339105,0.106968003396373,-3.10165840068728,0.00192439884637721,0.0914146772027169,"KHDRBS1","10657","Not Significant"
"EYA3",524.921565912164,0.257039329577428,0.092506872137967,2.77859713161713,0.00545941883367126,0.130421201731696,"EYA3","2140","Not Significant"
"SFPQ",2753.89467137427,0.106728054660394,0.119284232787703,0.89473731914212,0.370927524207955,0.698336378712877,"SFPQ","6421","Not Significant"
"THRAP3",1786.66740881943,-0.153689897369084,0.100350407172872,-1.5315323743961,0.125637871511976,0.452987562116703,"THRAP3","9967","Not Significant"
"MACF1",23648.6437647711,0.0441149774375778,0.118083355904473,0.373591833494857,0.70870801064428,0.891759252914291,"MACF1","23499","Not Significant"
"CSMD2",1352.449042623,0.176626760122067,0.117973845747667,1.49716879196981,0.134349343544289,0.463374376998832,"CSMD2","114784","Not Significant"
"RNF220",2228.46596767096,0.0215963908930222,0.217967551258602,0.0990807611881631,0.921074147262871,0.976003877196781,"RNF220","55182","Not Significant"
"TRABD2B",12.7959939787245,0.489181703224297,0.411321336427712,1.18929328459543,0.234324276983842,0.580146368677447,"TRABD2B","388630","Not Significant"
"PTPRF",4481.33132240818,-0.0727850429818591,0.103598254150511,-0.702570169533115,0.482323658127803,0.774996263593705,"PTPRF","5792","Not Significant"
"GPBP1L1",892.065157527808,0.131646959082609,0.0873348765638658,1.50738129212719,0.131712951233469,0.460368313269219,"GPBP1L1","60313","Not Significant"
"TCEANC2",260.976409303657,0.0464889593500128,0.209808095876978,0.221578481782094,0.824642035163693,0.941266043666635,"TCEANC2","127428","Not Significant"
"DAB1",237.548843300492,0.15298499788264,0.156777803569058,0.975807763598705,0.329159736749746,0.66532213456568,"DAB1","1600","Not Significant"
"RAB3B",825.584431422961,-0.535583468571631,0.368567309607804,-1.45314968151014,0.146182199531625,0.480859663995251,"RAB3B","5865","Not Significant"
"SCP2",600.9821384666,-0.221226711312074,0.116124424361982,-1.90508338385788,0.0567692329629648,0.33227054560086,"SCP2","6342","Not Significant"
"FAF1",737.011821354047,-0.0787873243377871,0.096730728042942,-0.814501512929901,0.415357705856804,0.731422476956565,"FAF1","11124","Not Significant"
